"Selected population characteristics, Canada, ecozones and ecoregions" 1 2 3 4
"Every 5 years"
"Table: 38-10-0047-01 (formerly CANSIM 153-0057)"
"Geography: Canada, Ecozone, Ecoregion"

"Geography4","Population characteristics","1996","2001","2006","2011","2016"
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Baffin Mountains (ecoregion)","Total population","488","519","473","520","598"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","488","519","473","520","598"
,"","Number per square kilometre",,,,
,"Total population density","0.006","0.006","0.006","0.006","0.007"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","128","140","136","165","176"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","128","140","136","165","176"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.002","0.002","0.002","0.002","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.8","3.7","3.5","3.2","3.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.8","3.7","3.5","3.2","3.4"
"Baffin Island Coastal Lowlands (ecoregion)","Total population","708","785","820","934","1,053"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","708","785","820","934","1,053"
,"","Number per square kilometre",,,,
,"Total population density","0.081","0.090","0.094","0.107","0.120"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","138","151","173","197","249"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","138","151","173","197","249"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.016","0.017","0.020","0.023","0.028"
,"","Number",,,,
,"Population per private occupied dwelling 6","5.1","5.2","4.7","4.7","4.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","5.1","5.2","4.7","4.7","4.2"
"Torngat Mountains (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Northern Arctic (ecozone)","Total population","18,881","20,451","22,859","24,893","27,420"
,"Population in population centres 5","5,161","6,512","8,656","10,219","12,663"
,"Population in rural areas 5","13,720","13,939","14,203","14,674","14,757"
,"","Number per square kilometre",,,,
,"Total population density","0.014","0.015","0.017","0.018","0.020"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","27.3","31.8","37.9","41.1","46.2"
,"Population in rural areas as a share of total population 5","72.7","68.2","62.1","58.9","53.8"
,"","Number",,,,
,"Private occupied dwellings 6","4,761","5,678","6,122","6,852","7,571"
,"Private occupied dwellings in population centres 5 6","1,524","2,232","2,788","3,319","3,959"
,"Private occupied dwellings in rural areas 5 6","3,237","3,446","3,334","3,533","3,612"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.004","0.004","0.005","0.005","0.006"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.0","3.6","3.7","3.6","3.6"
,"Population per private occupied dwelling in population centres 5 6","3.4","2.9","3.1","3.1","3.2"
,"Population per private occupied dwelling in rural areas 5 6","4.2","4.0","4.3","4.2","4.1"
"Ellesmere Mountains (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Eureka Hills (ecoregion)","Total population","0","5","5","5","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","5","5","5","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0s","0s","0s","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Sverdrup Islands Lowland (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Parry Islands Plateau (ecoregion)","Total population","374","285","229","214","198"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","374","285","229","214","198"
,"","Number per square kilometre",,,,
,"Total population density","0.007","0.005","0.004","0.004","0.004"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","52","76","67","68","66"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","52","76","67","68","66"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0.001","0.001","0.001","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","7.2","3.8","3.4","3.1","3.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","7.2","3.8","3.4","3.1","3.0"
"Lancaster Plateau (ecoregion)","Total population","148","163","141","130","129"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","148","163","141","130","129"
,"","Number per square kilometre",,,,
,"Total population density","0.001","0.002","0.001","0.001","0.001"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","37","44","48","49","52"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","37","44","48","49","52"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0s","0s","0s","0.001"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.0","3.7","2.9","2.7","2.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.0","3.7","2.9","2.7","2.5"
"Banks Island Coastal Plain (ecoregion)","Total population","0","99","105","61","93"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","99","105","61","93"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.010","0.010","0.006","0.009"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","32","40","23","35"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","32","40","23","35"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.003","0.004","0.002","0.003"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","3.1","2.6","2.7","2.7"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","3.1","2.6","2.7","2.7"
"Banks Island Lowland (ecoregion)","Total population","135","15","17","51","10"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","135","15","17","51","10"
,"","Number per square kilometre",,,,
,"Total population density","0.003","0s","0s","0.001","0s"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","40","4","5","19","4"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","40","4","5","19","4"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.001","0s","0s","0s","0s"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.4","3.8","3.4","2.7","2.5"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","3.4","3.8","3.4","2.7","2.5"
"Amundsen Gulf Lowlands (ecoregion)","Total population","1,774","1,707","1,875","2,010","2,162"
,"Population in population centres 5","0","0","1,147","1,375","1,619"
,"Population in rural areas 5","1,774","1,707","728","635","543"
,"","Number per square kilometre",,,,
,"Total population density","0.024","0.023","0.026","0.027","0.029"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","61.2","68.4","74.9"
,"Population in rural areas as a share of total population 5","100.0","100.0","38.8","31.6","25.1"
,"","Number",,,,
,"Private occupied dwellings 6","515","546","583","639","667"
,"Private occupied dwellings in population centres 5 6","0","0","349","414","494"
,"Private occupied dwellings in rural areas 5 6","515","546","234","225","173"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.007","0.007","0.008","0.009","0.009"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.4","3.1","3.2","3.1","3.2"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","3.3","3.3","3.3"
,"Population per private occupied dwelling in rural areas 5 6","3.4","3.1","3.1","2.8","3.1"
"Shaler Mountains (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Victoria Islands Lowland (ecoregion)","Total population","1,527","960","1,064","2,102","1,626"
,"Population in population centres 5","0","0","0","0","1,197"
,"Population in rural areas 5","1,527","960","1,064","2,102","429"
,"","Number per square kilometre",,,,
,"Total population density","0.010","0.006","0.007","0.014","0.011"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","73.6"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","26.4"
,"","Number",,,,
,"Private occupied dwellings 6","345","232","237","463","351"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","255"
,"Private occupied dwellings in rural areas 5 6","345","232","237","463","96"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.002","0.002","0.002","0.003","0.002"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.4","4.1","4.5","4.5","4.6"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","4.7"
,"Population per private occupied dwelling in rural areas 5 6","4.4","4.1","4.5","4.5","4.5"
"Prince of Wales Island Lowland (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Boothia Peninsula Plateau (ecoregion)","Total population","0","720","809","76","727"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","720","809","76","727"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.023","0.025","0.002","0.023"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","186","185","19","164"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","186","185","19","164"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.006","0.006","0.001","0.005"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","3.9","4.4","4.0","4.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","3.9","4.4","4.0","4.4"
"Gulf of Boothia Plain (ecoregion)","Total population","496","605","688","771","933"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","496","605","688","771","933"
,"","Number per square kilometre",,,,
,"Total population density","0.024","0.029","0.033","0.037","0.045"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","98","117","134","155","176"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","98","117","134","155","176"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.005","0.006","0.006","0.007","0.008"
,"","Number",,,,
,"Population per private occupied dwelling 6","5.1","5.2","5.1","5.0","5.3"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","5.1","5.2","5.1","5.0","5.3"
"Borden Peninsula Plateau (ecoregion)","Total population","2,102","1,943","2,005","2,382","2,485"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","2,102","1,943","2,005","2,382","2,485"
,"","Number per square kilometre",,,,
,"Total population density","0.069","0.064","0.066","0.078","0.082"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","472","481","472","532","563"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","472","481","472","532","563"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.016","0.016","0.016","0.018","0.019"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.5","4.0","4.2","4.5","4.4"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.5","4.0","4.2","4.5","4.4"
"Melville Peninsula Plateau (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Baffin Island Uplands (ecoregion)","Total population","18","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","18","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0s","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","3","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","3","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0s","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","6.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","6.0","0.0","0.0","0.0","0.0"
"Foxe Basin Plain (ecoregion)","Total population","1,717","1,895","2,192","2,000","2,592"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","1,717","1,895","2,192","2,000","2,592"
,"","Number per square kilometre",,,,
,"Total population density","0.037","0.041","0.048","0.043","0.056"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","100.0","100.0","100.0","100.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","353","399","475","449","558"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","353","399","475","449","558"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.008","0.009","0.010","0.010","0.012"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.9","4.7","4.6","4.5","4.6"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","4.9","4.7","4.6","4.5","4.6"
"Pangnirtung Upland (ecoregion)","Total population","1,243","1,276","1,325","1,425","1,481"
,"Population in population centres 5","1,243","1,276","1,325","1,425","0"
,"Population in rural areas 5","0","0","0","0","1,481"
,"","Number per square kilometre",,,,
,"Total population density","0.041","0.042","0.043","0.047","0.048"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","100.0","100.0","100.0","100.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","100.0"
,"","Number",,,,
,"Private occupied dwellings 6","312","354","365","386","414"
,"Private occupied dwellings in population centres 5 6","312","354","365","386","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","414"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.010","0.012","0.012","0.013","0.014"
,"","Number",,,,
,"Population per private occupied dwelling 6","4.0","3.6","3.6","3.7","3.6"
,"Population per private occupied dwelling in population centres 5 6","4.0","3.6","3.6","3.7","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","3.6"
"Hall Peninsula Upland (ecoregion)","Total population","0","0","0","0","0"
,"Population in population centres 5","0","0","0","0","0"
,"Population in rural areas 5","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Total population density","0.000","0.000","0.000","0.000","0.000"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"Population in rural areas as a share of total population 5","0.0","0.0","0.0","0.0","0.0"
,"","Number",,,,
,"Private occupied dwellings 6","0","0","0","0","0"
,"Private occupied dwellings in population centres 5 6","0","0","0","0","0"
,"Private occupied dwellings in rural areas 5 6","0","0","0","0","0"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.000","0.000","0.000","0.000","0.000"
,"","Number",,,,
,"Population per private occupied dwelling 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in population centres 5 6","0.0","0.0","0.0","0.0","0.0"
,"Population per private occupied dwelling in rural areas 5 6","0.0","0.0","0.0","0.0","0.0"
"Meta Incognita Peninsula (ecoregion)","Total population","5,789","6,817","7,831","8,517","9,570"
,"Population in population centres 5","3,918","5,236","6,184","6,254","7,082"
,"Population in rural areas 5","1,871","1,581","1,647","2,263","2,488"
,"","Number per square kilometre",,,,
,"Total population density","0.093","0.110","0.126","0.137","0.154"
,"","Percent",,,,
,"Population in population centres as a share of total population 5","67.7","76.8","79.0","73.4","74.0"
,"Population in rural areas as a share of total population 5","32.3","23.2","21.0","26.6","26.0"
,"","Number",,,,
,"Private occupied dwellings 6","1,714","2,275","2,508","2,844","3,229"
,"Private occupied dwellings in population centres 5 6","1,212","1,878","2,074","2,216","2,499"
,"Private occupied dwellings in rural areas 5 6","502","397","434","628","730"
,"","Number per square kilometre",,,,
,"Private occupied dwelling density 6","0.028","0.037","0.040","0.046","0.052"
,"","Number",,,,
,"Population per private occupied dwelling 6","3.4","3.0","3.1","3.0","3.0"
,"Population per private occupied dwelling in population centres 5 6","3.2","2.8","3.0","2.8","2.8"
,"Population per private occupied dwelling in rural areas 5 6","3.7","4.0","3.8","3.6","3.4"
"Baffin Upland (ecoregion)","Total population","0","0","0","0","0"
