"REF_DATE","GEO","DGUID","Dwelling tenure","Selected housing indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved due to a natural disaster or fire","Number of households","Number","223","units","0","v1110635960","64.3.26.1","","0s","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved due to a natural disaster or fire","Percentage of households","Percent","239","units","0","v1110635963","64.3.26.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for a new job or job transfer","Number of households","Number","223","units","0","v1110635954","64.3.27.1","7000","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for a new job or job transfer","Percentage of households","Percent","239","units","0","v1110635957","64.3.27.4","4.6","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for a new school","Number of households","Number","223","units","0","v1110635948","64.3.28.1","1000","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for a new school","Percentage of households","Percent","239","units","0","v1110635951","64.3.28.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to form own household","Number of households","Number","223","units","0","v1110635942","64.3.29.1","36200","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to form own household","Percentage of households","Percent","239","units","0","v1110635945","64.3.29.4","24.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to be closer to family","Number of households","Number","223","units","0","v1110635936","64.3.30.1","8300","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to be closer to family","Percentage of households","Percent","239","units","0","v1110635939","64.3.30.4","5.5","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved because of a change in household or family size","Number of households","Number","223","units","0","v1110651860","64.3.31.1","17500","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved because of a change in household or family size","Percentage of households","Percent","239","units","0","v1110651863","64.3.31.4","11.7","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to reduce commuting time","Number of households","Number","223","units","0","v1110651854","64.3.32.1","12200","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to reduce commuting time","Percentage of households","Percent","239","units","0","v1110651857","64.3.32.4","8.2","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to upgrade to a larger dwelling or better quality dwelling","Number of households","Number","223","units","0","v1110651848","64.3.33.1","53900","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to upgrade to a larger dwelling or better quality dwelling","Percentage of households","Percent","239","units","0","v1110651851","64.3.33.4","36.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to reduce housing costs","Number of households","Number","223","units","0","v1110651842","64.3.34.1","4800","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to reduce housing costs","Percentage of households","Percent","239","units","0","v1110651845","64.3.34.4","3.2","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to be in a more desirable neighbourhood","Number of households","Number","223","units","0","v1110651836","64.3.35.1","30800","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to be in a more desirable neighbourhood","Percentage of households","Percent","239","units","0","v1110651839","64.3.35.4","21.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for personal health reasons","Number of households","Number","223","units","0","v1110664376","64.3.36.1","","0s","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for personal health reasons","Percentage of households","Percent","239","units","0","v1110664379","64.3.36.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to become a homeowner","Number of households","Number","223","units","0","v1110664370","64.3.37.1","111400","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved to become a homeowner","Percentage of households","Percent","239","units","0","v1110664373","64.3.37.4","74.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for another reason","Number of households","Number","223","units","0","v1110664364","64.3.38.1","800","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Owner who is a first-time homebuyer","Moved for another reason","Percentage of households","Percent","239","units","0","v1110664367","64.3.38.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, structural type of dwelling","Number of households","Number","223","units","0","v1110604628","64.5.1.1","791900","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, structural type of dwelling","Percentage of households","Percent","239","units","0","v1110604631","64.5.1.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Single-detached house","Number of households","Number","223","units","0","v1110604634","64.5.2.1","14100","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Single-detached house","Percentage of households","Percent","239","units","0","v1110604637","64.5.2.4","1.8","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Semi-detached house","Number of households","Number","223","units","0","v1110604640","64.5.3.1","6900","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Semi-detached house","Percentage of households","Percent","239","units","0","v1110604643","64.5.3.4","0.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Row house","Number of households","Number","223","units","0","v1110604646","64.5.4.1","10900","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Row house","Percentage of households","Percent","239","units","0","v1110604649","64.5.4.4","1.4","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment or flat in a duplex","Number of households","Number","223","units","0","v1110604652","64.5.5.1","72300","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment or flat in a duplex","Percentage of households","Percent","239","units","0","v1110604655","64.5.5.4","9.1","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment in a building that has five or more storeys","Number of households","Number","223","units","0","v1110604658","64.5.6.1","103900","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment in a building that has five or more storeys","Percentage of households","Percent","239","units","0","v1110604661","64.5.6.4","13.1","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment in a building that has fewer than five storeys","Number of households","Number","223","units","0","v1110604664","64.5.7.1","566500","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Apartment in a building that has fewer than five storeys","Percentage of households","Percent","239","units","0","v1110604667","64.5.7.4","72.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Other single-attached house","Number of households","Number","223","units","0","v1110604670","64.5.8.1","1200","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Other single-attached house","Percentage of households","Percent","239","units","0","v1110604673","64.5.8.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moveable dwelling","Number of households","Number","223","units","0","v1110604676","64.5.9.1","3500","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moveable dwelling","Percentage of households","Percent","239","units","0","v1110604679","64.5.9.4","","x","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, condominium status","Number of households","Number","223","units","0","v1110623060","64.5.10.1","791800","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, condominium status","Percentage of households","Percent","239","units","0","v1110623063","64.5.10.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Condominium","Number of households","Number","223","units","0","v1110623066","64.5.11.1","93700","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Condominium","Percentage of households","Percent","239","units","0","v1110623069","64.5.11.4","11.8","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Not condominium","Number of households","Number","223","units","0","v1110623072","64.5.12.1","697100","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Not condominium","Percentage of households","Percent","239","units","0","v1110623075","64.5.12.4","88.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, satisfaction with dwelling","Number of households","Number","223","units","0","v1110698114","64.5.13.1","791800","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, satisfaction with dwelling","Percentage of households","Percent","239","units","0","v1110698117","64.5.13.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Very satisfied with dwelling","Number of households","Number","223","units","0","v1110698120","64.5.14.1","176100","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Very satisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698123","64.5.14.4","22.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Satisfied with dwelling","Number of households","Number","223","units","0","v1110698126","64.5.15.1","374800","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Satisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698129","64.5.15.4","47.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Neither satisfied nor dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698132","64.5.16.1","157700","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Neither satisfied nor dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698135","64.5.16.4","19.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698138","64.5.17.1","65800","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698141","64.5.17.4","8.3","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Very dissatisfied with dwelling","Number of households","Number","223","units","0","v1110698144","64.5.18.1","17400","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Very dissatisfied with dwelling","Percentage of households","Percent","239","units","0","v1110698147","64.5.18.4","2.2","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, satisfaction with neighbourhood","Number of households","Number","223","units","0","v1110679034","64.5.19.1","791800","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Total, satisfaction with neighbourhood","Percentage of households","Percent","239","units","0","v1110679037","64.5.19.4","100.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Very satisfied with neighbourhood","Number of households","Number","223","units","0","v1110679040","64.5.20.1","307100","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Very satisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110679043","64.5.20.4","39.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Satisfied with neighbourhood","Number of households","Number","223","units","0","v1110679046","64.5.21.1","356600","A","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Satisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110679049","64.5.21.4","45.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Neither satisfied nor dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110679052","64.5.22.1","94600","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Neither satisfied nor dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110679055","64.5.22.4","11.9","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110679058","64.5.23.1","28500","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110679061","64.5.23.4","3.6","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Very dissatisfied with neighbourhood","Number of households","Number","223","units","0","v1110679064","64.5.24.1","5000","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Very dissatisfied with neighbourhood","Percentage of households","Percent","239","units","0","v1110679067","64.5.24.4","0.6","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved because the household was forced to move by a landlord, a bank or other financial institution or the government","Number of households","Number","223","units","0","v1110708704","64.5.25.1","58100","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved because the household was forced to move by a landlord, a bank or other financial institution or the government","Percentage of households","Percent","239","units","0","v1110708707","64.5.25.4","7.3","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved due to a natural disaster or fire","Number of households","Number","223","units","0","v1110636020","64.5.26.1","7800","D","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved due to a natural disaster or fire","Percentage of households","Percent","239","units","0","v1110636023","64.5.26.4","1.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for a new job or job transfer","Number of households","Number","223","units","0","v1110636014","64.5.27.1","43900","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for a new job or job transfer","Percentage of households","Percent","239","units","0","v1110636017","64.5.27.4","5.5","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for a new school","Number of households","Number","223","units","0","v1110636008","64.5.28.1","36200","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for a new school","Percentage of households","Percent","239","units","0","v1110636011","64.5.28.4","4.6","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to form own household","Number of households","Number","223","units","0","v1110636002","64.5.29.1","60800","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to form own household","Percentage of households","Percent","239","units","0","v1110636005","64.5.29.4","7.7","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to be closer to family","Number of households","Number","223","units","0","v1110635996","64.5.30.1","71900","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to be closer to family","Percentage of households","Percent","239","units","0","v1110635999","64.5.30.4","9.1","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved because of a change in household or family size","Number of households","Number","223","units","0","v1110651920","64.5.31.1","164900","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved because of a change in household or family size","Percentage of households","Percent","239","units","0","v1110651923","64.5.31.4","21.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to reduce commuting time","Number of households","Number","223","units","0","v1110651914","64.5.32.1","68700","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to reduce commuting time","Percentage of households","Percent","239","units","0","v1110651917","64.5.32.4","8.7","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to upgrade to a larger dwelling or better quality dwelling","Number of households","Number","223","units","0","v1110651908","64.5.33.1","221500","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to upgrade to a larger dwelling or better quality dwelling","Percentage of households","Percent","239","units","0","v1110651911","64.5.33.4","28.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to reduce housing costs","Number of households","Number","223","units","0","v1110651902","64.5.34.1","125200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to reduce housing costs","Percentage of households","Percent","239","units","0","v1110651905","64.5.34.4","15.8","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to be in a more desirable neighbourhood","Number of households","Number","223","units","0","v1110651896","64.5.35.1","164800","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to be in a more desirable neighbourhood","Percentage of households","Percent","239","units","0","v1110651899","64.5.35.4","21.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for personal health reasons","Number of households","Number","223","units","0","v1110664412","64.5.36.1","35800","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for personal health reasons","Percentage of households","Percent","239","units","0","v1110664415","64.5.36.4","4.5","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to become a homeowner","Number of households","Number","223","units","0","v1110664406","64.5.37.1","8000","E","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved to become a homeowner","Percentage of households","Percent","239","units","0","v1110664409","64.5.37.4","1.0","","","","1"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for another reason","Number of households","Number","223","units","0","v1110664400","64.5.38.1","25400","C","","","0"
"2018","Montréal, Quebec","2016S0503462","Renter","Moved for another reason","Percentage of households","Percent","239","units","0","v1110664403","64.5.38.4","3.2","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Total, structural type of dwelling","Number of households","Number","223","units","0","v1110604790","65.3.1.1","45900","B","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Total, structural type of dwelling","Percentage of households","Percent","239","units","0","v1110604793","65.3.1.4","100.0","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Single-detached house","Number of households","Number","223","units","0","v1110604796","65.3.2.1","18300","C","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Single-detached house","Percentage of households","Percent","239","units","0","v1110604799","65.3.2.4","40.0","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Semi-detached house","Number of households","Number","223","units","0","v1110604802","65.3.3.1","4400","D","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Semi-detached house","Percentage of households","Percent","239","units","0","v1110604805","65.3.3.4","9.7","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Row house","Number of households","Number","223","units","0","v1110604808","65.3.4.1","12300","C","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Row house","Percentage of households","Percent","239","units","0","v1110604811","65.3.4.4","27.0","","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Apartment or flat in a duplex","Number of households","Number","223","units","0","v1110604814","65.3.5.1","500","E","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Apartment or flat in a duplex","Percentage of households","Percent","239","units","0","v1110604817","65.3.5.4","","x","","","1"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Apartment in a building that has five or more storeys","Number of households","Number","223","units","0","v1110604820","65.3.6.1","3200","D","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2016S0503505","Owner who is a first-time homebuyer","Apartment in a building that has five or more storeys","Percentage of households","Percent","239","units","0","v1110604823","65.3.6.4","6.8","","","","1"
